item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q111575999,Guillermo Vázquez Moreno,NormalRank,Q272471,Matanzas,true,true,true,false,true,false,false
Q111908765,Juan Carlos García Granda,,,,,,false,,,,
Q113574912,Meisi Bolaños,,,,,,false,,,,
Q114435912,Ydael Pérez Brito,,,,,,false,,,,
Q114436117,Alfredo Jordán Morales,,,,,,false,,,,
Q114436118,María del Carmen Pérez,,,,,,false,,,,
Q114436125,Raúl de la Nuez Ramírez,,,,,,false,,,,
Q114436130,Fidel Fernando Figueroa de la Paz,,,,,,false,,,,
Q114436131,Juan Mario Junco del Pino,,,,,,false,,,,
Q114436132,René Mesa Villafaña,,,,,,false,,,,
Q114436165,Georgina Barreiro Fajardo,,,,,,false,,,,
Q114436166,Manuel Millares Rodríguez,,,,,,false,,,,
Q114436186,Ena Elsa Velázquez Cobiella,,,,,,false,,,,
Q114436188,Luis Ignacio Gómez Gutiérrez,,,,,,false,,,,
Q114436233,Ignacio González Planas,,,,,,false,,,,
Q114436234,Maimir Mesa Ramos,,,,,,false,,,,
Q114436235,Medardo Díaz Toledo,,,,,,false,,,,
Q114436236,Silvano Colás Sánchez,,,,,,false,,,,
Q114436246,María Esther Reus González,,,,,,false,,,,
Q114436247,Roberto Díaz Sotolongo,,,,,,false,,,,
Q114436260,Carlos Dotres Martínez,,,,,,false,,,,
Q114436261,Damodar Peña Pentón,,,,,,false,,,,
Q114436262,José Ángel Portal Miranda,,,,,,false,,,,
Q114436302,César Ignacio Arocha Masid,,,,,,false,,,,
Q114436308,Bárbara Castillo Cuesta,,,,,,false,,,,
Q114436309,Mary Blanca Ortega Barredo,,,,,,false,,,,
Q114436319,Luis Manuel Ávila Cruz,,,,,,false,,,,
Q114436320,Orlando Celso García Ramírez,,,,,,false,,,,
Q114436329,Alejandro Roca Iglesias,,,,,,false,,,,
Q114436336,Alfredo López Valdés,,,,,,false,,,,
Q114436353,Fernando González Bermúdez,,,,,,false,,,,
Q114436354,José Manuel Miyar Barruecos,,,,,,false,,,,
Q114436367,Abel Prieto Jiménez,,,,,,false,,,,
Q114436368,Julián González Toledo,,,,,,false,,,,
Q114436370,Rafael Bernal Alemany,,,,,,false,,,,
Q114436375,Fernándo Vecino Alegret,,,,,,false,,,,
Q114436376,Juan Vela Valdés,,,,,,false,,,,
Q114436377,Rodolfo Alarcón Ortiz,,,,,,false,,,,
Q114436378,Ibrahim Ferradaz García,,,,,,false,,,,
Q114436488,Manuel Santiago Sobrino Martínez,,,,,,false,,,,
Q114436491,Eloy Alvarez Martínez,,,,,,false,,,,
Q114436493,Alejandro Gil Fernández,NormalRank,Q241,Cuba,true,false,true,false,true,false,false
Q114436494,Oscar Manuel Silveira Martínez,,,,,,false,,,,
Q114436499,Betsy Díaz Velázquez,,,,,,false,,,,
Q114436504,Marta Elena Feita Cabrera,,,,,,false,,,,
Q114436510,Jorge Luis Perdomo Di-Lella,,,,,,false,,,,
Q114436517,Liván Arronte Cruz,,,,,,false,,,,
Q114436521,Lázaro Alberto Álvarez Casas,,,,,,false,,,,
Q114436548,Adolfo Díaz Suárez,,,,,,false,,,,
Q114436612,Inés María Chapman Waugh,,,,,,false,,,,
Q114436643,Irma Margarita Martínez Castrillón,,,,,,false,,,,
Q114436669,Antonio Eduardo Becali Garrido,,,,,,false,,,,
Q114436670,Humberto Rodríguez González,,,,,,false,,,,
Q114436672,Julio Christian Jiménez Molina,,,,,,false,,,,
Q114436688,Danylo Sirio López,,,,,,false,,,,
Q114436689,Ernesto López Domínguez,,,,,,false,,,,
Q114436910,Osvaldo Caridad Vento Montiller,,,,,,false,,,,
Q114436923,Marta Sabina Wilson González,,,,,,false,,,,
Q114437436,Mayra Arevich Marín,,,,,,false,,,,
Q114437461,Eduardo Rodríguez Dávila,,,,,,false,,,,
Q114437476,Jorge Luis Tapia Fonseca,,,,,,false,,,,
Q1343579,Felipe Pérez Roque,NormalRank,Q1563,Havana,true,true,true,false,false,false,true
Q1345182,Ricardo Alarcón,NormalRank,Q1563,Havana,true,true,true,false,true,false,false
Q1345182,Ricardo Alarcón,NormalRank,Q1563,Havana,true,true,true,false,false,false,true
Q1369810,Esteban Lazo Hernández,NormalRank,Q2573404,Jovellanos,true,true,false,,,,
Q1388860,Ramiro Valdés,NormalRank,Q115006,Artemisa,true,true,true,false,false,false,true
Q15837933,Otto Rivero,NormalRank,Q190005,Cienfuegos,true,true,true,false,false,false,true
Q15842341,Ricardo Cabrisas,NormalRank,Q1563,Havana,true,true,true,false,false,false,true
Q1617861,Julio Casas Regueiro,NormalRank,Q117040,Santiago de Cuba,true,true,true,false,false,false,true
Q16190513,José Amado Ricardo Guerra,,,,,,false,,,,
Q1709592,José Ramón Balaguer,NormalRank,Q117040,Santiago de Cuba,true,true,true,false,false,false,true
Q17113466,Francisco Soberón Valdés,,,,,,false,,,,
Q17769768,Ernesto Medina Villaveirán,,,,,,false,,,,
Q1898550,Marino Murillo,,,,,,false,,,,
Q1932603,Miguel Díaz-Canel,PreferredRank,Q861701,Placetas,true,true,false,,,,
Q253736,Mariela Castro Espín,NormalRank,Q1563,Havana,true,true,true,false,false,false,true
Q2646349,Alfredo Morales Cartaya,,,,,,false,,,,
Q2886425,Álvaro López Miera,,,,,,false,,,,
Q313729,Juan Almeida Bosque,NormalRank,Q1563,Havana,true,true,true,true,false,false,false
Q313729,Juan Almeida Bosque,NormalRank,Q1563,Havana,true,true,true,false,false,false,true
Q318484,Abel Prieto,NormalRank,Q244139,Pinar del Río,true,true,true,false,false,false,true
Q318528,Abelardo Colomé Ibarra,NormalRank,Q117040,Santiago de Cuba,true,true,true,false,false,false,true
Q3187628,Juan Contino Aslán,,,,,,false,,,,
Q3434491,Leopoldo Cintra Frías,NormalRank,Q2061386,Yara,true,true,true,false,false,false,true
Q43977888,Elba Rosa Pérez Montoya,,,,,,false,,,,
Q44008791,José Ramón Saborido,,,,,,false,,,,
Q44008911,Roberto Morales Ojeda,NormalRank,Q241,Cuba,true,false,false,,,,
Q44008930,Gustavo Rodríguez Rollero,,,,,,false,,,,
Q44573220,Julio César Gandarilla Bermejo,NormalRank,Q115438,Matanzas Province,true,true,true,false,false,true,true
Q4776586,Antonio Enrique Lussón Batlle,NormalRank,Q117040,Santiago de Cuba,true,true,true,false,false,true,true
Q5042321,Carlos Manuel Pazo Torrado,,,,,,false,,,,
Q51954822,Salvador Valdés Mesa,NormalRank,Q1936063,Amancio,true,true,false,,,,
Q53871460,Adel Yzquierdo,,,,,,false,,,,
Q5646406,José Luis Rodríguez García,,,,,,false,,,,
Q5670557,Alpidio Alonso Grau,,,,,,false,,,,
Q5696752,Faure Chomón,NormalRank,Q2234381,Manatí,true,true,true,false,false,false,true
Q5750320,Carlos Fernández Gondín,NormalRank,Q117040,Santiago de Cuba,true,true,false,,,,
Q6069538,Pedro Miret Prieto,NormalRank,Q117040,Santiago de Cuba,true,true,true,false,false,false,true
Q6110785,Jacinto Angulo Pardo,,,,,,false,,,,
Q6278251,Jorge Luis Sierra Cruz,,,,,,false,,,,
Q6550193,Lina Olinda Pedraza Rodríguez,,,,,,false,,,,
Q66421220,Alicia Elvira Corredera Morales,NormalRank,Q115382,Bayamo,true,true,false,,,,
Q66421513,Julio César Cancio Ferrer,NormalRank,Q845720,Sancti Spíritus,true,true,false,,,,
Q6760149,Margarita Marlene González Fernández,,,,,,false,,,,
Q6774124,Marta Hernández Romero,NormalRank,Q117040,Santiago de Cuba,true,true,false,,,,
Q6782166,María del Carmen Concepción González,,,,,,false,,,,
Q7107144,Osmany Cienfuegos Gorriarán,NormalRank,Q241,Cuba,true,false,true,false,false,true,true
Q7357366,Rodrigo Malmierca Díaz,NormalRank,Q1563,Havana,true,true,true,false,false,false,true
Q7367036,Rosa Elena Simeón Negrín,NormalRank,Q1563,Havana,true,true,true,true,false,false,false
Q7406446,Salvador Pardo Cruz,,,,,,false,,,,
Q7879043,Ulises Rosales del Toro,NormalRank,Q1500652,Oriente Province,true,false,true,false,false,false,true
Q79358625,Manuel Marrero Cruz,NormalRank,Q115302,Holguín Province,true,true,true,true,false,false,false
Q8076743,Álvaro Pérez Morales,,,,,,false,,,,
Q85847047,Reinaldo García Zapata,NormalRank,Q117040,Santiago de Cuba,true,true,true,false,false,true,true
Q959399,José Ramón Fernández,NormalRank,Q117040,Santiago de Cuba,true,true,true,false,false,false,true
Q11256,Fidel Castro,NormalRank,Q865949,Birán,true,true,false,,,,
Q46809,Raúl Castro,NormalRank,Q865949,Birán,true,true,false,,,,
Q58183,Bruno Rodríguez Parrilla,NormalRank,Q1489,Mexico City,true,true,true,false,false,false,true
