pageid,title,wikidata,label
6815081,Ramiro Valdés Menendéz,Q1388860,Ramiro Valdés
11233150,Rodrigo Malmierca Díaz,Q7357366,Rodrigo Malmierca Díaz
12388998,Esteban Lazo Hernández,Q1369810,Esteban Lazo Hernández
15731273,Bruno Rodríguez Parrilla,Q58183,Bruno Rodríguez Parrilla
22120420,José Amado Ricardo Guerra,Q16190513,José Amado Ricardo Guerra
38630938,Miguel Díaz-Canel,Q1932603,Miguel Díaz-Canel
57165069,Salvador Valdés Mesa,Q51954822,Salvador Valdés Mesa
62639497,Manuel Marrero Cruz,Q79358625,Manuel Marrero Cruz
63137760,Reinaldo García Zapata,Q85847047,Reinaldo García Zapata
67467069,Álvaro López Miera,Q2886425,Álvaro López Miera
70659509,Elba Rosa Pérez Montoya,Q43977888,Elba Rosa Pérez Montoya
70735734,Juan Carlos García Granda,Q111908765,Juan Carlos García Granda
71568747,Meisi Bolaños,Q113574912,Meisi Bolaños
