itemLabel,positionLabel
Miguel Mario Díaz-Canel Bermúdez,President
Salvador Antonio Valdés Mesa,Vice-President
Manuel Marrero Cruz,Prime Minister
Brig.-Gen. José Amado Ricardo Guerra,Secretary
Ricardo Cabrisas Ruiz,Deputy Prime Minister
Ramiro Valdés Menéndez,Deputy Prime Minister
Inés María Chapman Waugh,Deputy Prime Minister
Jorge Luis Perdomo Di-Lella,Deputy Prime Minister
Jorge Luis Tapia Fonseca,Deputy Prime Minister
Alejandro Gil Fernández,Deputy Prime Minister
Ydael Jesús Pérez Brito,Minister of Agriculture
René Mesa Villafaña,Minister of Construction
Alpidio Alonso Grau,Minister of Culture
Betsy Diaz Velázquez,Minister of Domestic Trade
Alejandro Gil Fernández,Minister of Economy and Planning
Ena Elsa Velázquez Cobiella,Minister of Education
Nicolás Liván Arronte Cruz,Minister of Energy and Mines
Meisi Bolaños Weiss,Minister of Finance and Prices
Manuel Santiago Sobrino Martínez,Minister of the Food Industry
Bruno Eduardo Rodríguez Parilla,Minister of Foreign Relations
Rodrigo Malmierca Díaz,Minister of Foreign Trade and Investment
José Ramón Saborido Loidi,Minister of Higher Education
Eloy Álvarez Martinez,Minister of Industries
Mayra Arevich Marín,Minister of Communications
Gen. Lazaro Alberto Álvarez Casas,Minister of the Interior
Oscar Manuel Silveira Martínez,Minister of Justice
Martha Elena Feitó Cabrera,Minister of Labour and Social Security
José Ángel Portal Miranda,Minister of Public Health
Gen. Álvaro López Miera,Minister of the Revolutionary Armed Forces
Elba Rosa Perez Montoya,"Minister of Science, Technology and the Environment"
Juan Carlos García Granda,Minister of Tourism
Eduardo Rodríguez Ávila,Minister of Transport
Marta Sabina Wilson González,"Minister, President of the Banco Central de Cuba"
