item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q111908765,Juan Carlos García Granda,Q114433455,Minister of Tourism,2019-12-21,,161,,Q111908765-05986581-068E-4C1C-B570-DB2732A73416
Q113574912,Meisi Bolaños Weiss,Q114433418,Minister of Finance and Prices,2019-01-08,,161,,Q113574912-84BBFC86-5CE5-4190-AAA2-F3241B681F83
Q114435912,Ydael Jesús Pérez Brito,Q114433409,Minister of Agriculture,2021,,161,,Q114435912-af507bdb-4a95-5921-f0c3-2bebd02d3254
Q114436132,René Mesa Villafaña,Q114433412,Minister of Construction,2011,,161,,Q114436132-B6B31C47-B42F-4936-B241-CE8973B58C4F
Q114436186,Ena Elsa Velázquez Cobiella,Q114436178,Minister of Education,2008,,161,,Q114436186-20E16C71-B1BF-4342-90F6-7F8E602C111C
Q114436262,José Ángel Portal Miranda,Q114433431,Minister of Public Health,2018,,161,,Q114436262-9031B3DB-F1A1-4E21-9839-37E76F388A1B
Q114436488,Manuel Santiago Sobrino Martínez,Q114433419,Minister of the Food Industry,2019-12-21,,161,,Q114436488-BC4D5180-C0BB-46A5-9DAE-A1A957AD64E6
Q114436491,Eloy Álvarez Martinez,Q99883982,Minister of Industries,2019-12-21,,161,,Q114436491-3280ADDD-27B1-4304-BC5B-928D2CE341A0
Q114436493,Alejandro Gil Fernández,Q114433591,Deputy Prime Minister,2019-12-21,,161,,Q114436493-285aa1a0-4ed8-1527-3f07-fa94485a364b
Q114436493,Alejandro Gil Fernández,Q114433416,Minister of Economy and Planning,2018-07-21,,161,,Q114436493-28B77B34-734B-487A-95A2-065D9EB31B26
Q114436494,Oscar Manuel Silveira Martínez,Q114433424,Minister of Justice,2019-12-21,,161,,Q114436494-09741F48-BFFD-4038-9A20-BCD00ED25C99
Q114436499,Betsy Diaz Velázquez,Q114433415,Minister of Domestic Trade,2019-12-21,,161,,Q114436499-CF210369-D986-4DE7-9500-CDD275D1B912
Q114436504,Martha Elena Feitó Cabrera,Q114433425,Minister of Labour and Social Security,2019-12-21,,161,,Q114436504-35E563A2-3B12-4401-AF67-C078F5FE1B2E
Q114436510,Jorge Luis Perdomo Di-Lella,Q114433591,Deputy Prime Minister,2021-04-20,,161,,Q114436510-2707fa8d-4795-09b8-6d3c-7b81e8af8ec0
Q114436517,Nicolás Liván Arronte Cruz,Q114433417,Minister of Energy and Mines,2019-12-21,,161,,Q114436517-E4D3D887-1A21-4A2D-900A-77CE90DF0FAF
Q114436521,Gen. Lazaro Alberto Álvarez Casas,Q114433457,Minister of the Interior,2019-12-21,,161,,Q114436521-1C7ED085-EA18-4B00-8799-4ED9D7299739
Q114436612,Inés María Chapman Waugh,Q114433591,Deputy Prime Minister,2018,,161,,Q114436612-ac419b21-4053-3a9d-97d6-df9fbc6bf814
Q114436688,Danylo Sirio López,Q114436682,President of the Cuban Institute of Radio and Television,2009,,,,Q114436688-23CDEA39-2A1C-4872-8AF2-65ADE774FD8E
Q114436910,Osvaldo Caridad Vento Montiller,Q114436666,"President of the National Institute of Sports, Physical Education and Recreation of Cuba",2019,,,,Q114436910-D15F2F12-C574-4CF6-9B82-9EBCF268365D
Q114436923,Marta Sabina Wilson González,Q114436623,"Minister, President of the Banco Central de Cuba",2020-01-31,,161,,Q114436923-C9A4C474-8DB9-40B9-9736-E5866CEA0957
Q114437436,Mayra Arevich Marín,Q114433410,Minister of Communications,2021-04-20,,161,,Q114437436-1d8947db-44e0-df65-c88a-7ecc627f41e1
Q114437461,Eduardo Rodríguez Ávila,Q114433456,Minister of Transport,2019-01-08,,161,,Q114437461-8145323a-4e9d-e9b5-09a7-08d73532dcf2
Q114437476,Jorge Luis Tapia Fonseca,Q114433591,Deputy Prime Minister,2019-09-04,,161,,Q114437476-f6859a36-49eb-e634-b801-976fc34f4bbe
Q1388860,Ramiro Valdés Menéndez,Q114433591,Deputy Prime Minister,2009,,161,,Q1388860-B2F0FDDA-5D6E-4DF2-A3F4-207B0E564356
Q15842341,Ricardo Cabrisas Ruiz,Q114433591,Deputy Prime Minister,2009,,161,,Q15842341-6E59ACEA-D169-45AD-9D6B-1A731C37DEEA
Q16190513,Brig.-Gen. José Amado Ricardo Guerra,Q114437451,Secretary,2009,,161,,Q16190513-d24acb51-4646-fd63-76c2-c6dd287f0619
Q1932603,Miguel Mario Díaz-Canel Bermúdez,Q1370482,President,2018-04-19,,161,,Q1932603-1e6b3def-4742-7a31-6c36-1b96dc17dd1a
Q2886425,Gen. Álvaro López Miera,Q114433474,Minister of the Revolutionary Armed Forces,2021-04-15,,161,,Q2886425-D8638372-87A3-400D-B158-8BE725817485
Q43977888,Elba Rosa Perez Montoya,Q114433450,"Minister of Science, Technology and the Environment",2012,,161,,Q43977888-9B747AF6-CBEC-4340-AB13-124EB52B6449
Q44008791,José Ramón Saborido Loidi,Q114433423,Minister of Higher Education,2016-07-13,,161,,Q44008791-D12DEA7F-ACC3-4EA4-8EC7-1D488FF555ED
Q51954822,Salvador Antonio Valdés Mesa,Q21071159,Vice-President,2018-04-19,,161,,Q51954822-3eac0195-4f14-a127-c75c-adb264c6949d
Q5670557,Alpidio Alonso Grau,Q114433414,Minister of Culture,2018-07-20,,161,,Q5670557-6E8E040C-38AE-442A-A46F-A020903FAA1E
Q58183,Bruno Eduardo Rodríguez Parilla,Q4294907,Minister of Foreign Relations,2009-03-02,,161,,Q58183-E9A5C7C2-6308-436E-8600-83E957369798
Q7357366,Rodrigo Malmierca Díaz,Q114433422,Minister of Foreign Trade and Investment,2009-03,,161,,Q7357366-F5215309-AC63-4EB2-A79A-C847ACDAB039
Q79358625,Manuel Marrero Cruz,Q6502015,Prime Minister,2019-12-21,,161,,Q79358625-ba918fc4-47b3-d5d0-6f4a-7aa39052f91b
