position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q1370482,President of Cuba,Q241,Cuba,Q241,Cuba,1902-01-01,,,,,,Q21071159,Vice-President of Cuba,,
Q4294907,Minister of Foreign Affairs of Cuba,Q241,Cuba,Q241,Cuba,,,,,,,,,Q16188326,list of Ministers of Foreign Affairs of Cuba
Q6502015,Prime Minister of Cuba,Q241,Cuba,Q241,Cuba,1940-10-10,,,,,,,,Q375886,list of Prime Ministers of Cuba
Q21071159,Vice-President of Cuba,Q241,Cuba,Q241,Cuba,1976-12-02,,,,,,,,,
Q21272829,Member of the National Assembly of Cuba,Q241,Cuba,Q241,Cuba,,,,,,,,,,
Q30158520,ambassador of Cuba to Uruguay,Q241,Cuba,,,,,,,,,,,,
Q66421797,ambassador of Cuba to Hungary,Q241,Cuba,,,,,,,,,,,,
Q99880254,President of the National Assembly of People's Power,Q241,Cuba,Q241,Cuba,,,,,,,,,Q11812611,list of presidents of the National Assembly of People's Power (Cuba)
Q99883982,Minister of Industry of Cuba,Q241,Cuba,Q241,Cuba,,,,,,,,,,
Q104214569,ambassador of Cuba to France,Q241,Cuba,,,,,,,,,,,Q104214582,list of ambassadors of Cuba to France
Q105156631,ambassador of Cuba to the United States of America,Q241,Cuba,,,,,,,,,,,,
Q106034397,Ambassador of Cuba to Angola,Q241,Cuba,,,,,,,,,,,,
Q106465348,mayor of Havana,Q241,Cuba,Q1563,Havana,,2020-01-01,,,Q113662078,Governor of Havana Province,,,,
Q109180051,ambassadeur de Cuba en Guinée,Q241,Cuba,Q1006,Guinea,,,,,,,,,,
Q112235398,ambassadeur de Cuba en Islande,,,,,,,,,,,,,,
Q113662078,Governor of Havana Province,,,Q12588,Havana Province,2020-01-01,,Q106465348,mayor of Havana,,,,,,
Q114433409,Minister of Agriculture of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433410,Minister of Communications of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433412,Minister of Construction of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433414,Minister of Culture of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433415,Minister of Domestic Trade of the Republic of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433416,Minister of Economy and Planning of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433417,Minister of Energy and Mines of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433418,Minister of Finance and Prices of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433419,Minister of Food of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433422,Minister of Foreign Trade and Investment of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433423,Minister of Higher Education of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433424,Minister of Justice of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433425,Minister of Labour and Social Affairs of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433431,Minister of Public Health,,,Q241,Cuba,,,,,,,,,,
Q114433450,"Minister of Science, Technology and the Environment of Cuba",,,Q241,Cuba,,,,,,,,,,
Q114433452,Minister of Sugar,,,Q241,Cuba,,,,,,,,,,
Q114433455,Minister of Tourism of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433456,Minister of Transport of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114433457,Minister of the Interior,,,Q241,Cuba,,,,,,,,,,
Q114433474,Minister of the Revolutionary Armed Forces,,,Q241,Cuba,,,,,,,,,,
Q114433591,Deputy Prime Minister of Cuba,Q241,Cuba,Q241,Cuba,,,,,,,,,,
Q114436178,Minister of Education of Cuba,,,Q241,Cuba,,,,,,,,,,
Q114436623,President of the Central Bank of Cuba,Q241,Cuba,,,,,,,,,,,,
Q114436666,"President of the National Institute of Sports, Physical Education and Recreation of Cuba",,,Q241,Cuba,,,,,,,,,,
Q114436682,President of the Cuban Institute of Radio and Television,,,Q241,Cuba,,,,,,,,,,
Q114437451,Secretary of the Council of Ministers,Q241,Cuba,Q241,Cuba,,,,,,,,,,
