position,title
Q1370482,President
Q21071159,Vice-President
Q6502015,Prime Minister
Q114433591,Deputy Prime Minister
Q114433409,Minister of Agriculture
Q114433410,Minister of Communications
Q114433412,Minister of Construction
Q114433414,Minister of Culture
Q114433415,Minister of Domestic Trade
Q114433416,Minister of Economy and Planning
Q114436178,Minister of Education
Q114433417,Minister of Energy and Mines
Q114433418,Minister of Finance and Prices
Q114433419,Minister of Food
Q4294907,Minister of Foreign Affairs
Q114433422,Minister of Foreign Trade and Investment
Q114433423,Minister of Higher Education
Q99883982,Minister of Industry
Q114433457,Minister of the Interior
Q114433424,Minister of Justice
Q114433425,Minister of Labour and Social Affairs
Q114433431,Minister of Public Health
Q114433474,Minister of the Revolutionary Armed Forces
Q114433450,"Minister of Science, Technology and the Environment"
Q114433452,Minister of Sugar
Q114433455,Minister of Tourism
Q114433456,Minister of Transport
Q99880254,President of the National Assembly
